test_id,type,status,order_ok,order_error,onset_idx,onset_time_s,onset_value_N,min_force_idx,min_force_time_s,min_force_value_N,p1_idx,p1_time_s,p1_value_N,p2_idx,p2_time_s,p2_value_N,take_off_idx,take_off_time_s,take_off_value_N,landing_idx,landing_time_s,landing_value_N,key_points_count
69a032e76ec7b67d7d87539c,cmj,ok,True,,1804,1.8022,5747.822323892709,2020,2.018,2217.687365571233,2304,2.3017,13479.625141175511,2474,2.4715,14653.99646952128,2586,2.5834,590.3790255011555,3081,3.0779,579.2997995654509,6
69a033a86ec7b67d7d8753a1,cmj,ok,True,,2216,2.1997,5872.968305046986,2343,2.3258,1615.3814748722696,2735,2.7149,14196.597434063982,3230,3.2062,723.4641635713906,3243,3.2191,614.9384141066894,3298,3.2737,548.665372220046,6
69a033c86ec7b67d7d8753a2,cmj,ok,True,,1449,1.4528,5881.972061858143,1575,1.5791,1596.3630046094215,1875,1.8799,15027.387218257416,2453,2.4594,680.2670567529909,2463,2.4694,623.8310318492462,2521,2.5276,579.4562861039897,6
69a033d26ec7b67d7d8753a3,cmj,ok,True,,1876,1.8704,5803.868217297743,1997,1.991,1336.0166851316333,2269,2.2622,15288.074717693513,2829,2.8205,690.5550613540673,2841,2.8325,608.883967448368,2895,2.8863,523.7969273950077,6
69a033ec6ec7b67d7d8753a4,cmj,ok,True,,698,0.6965,5567.878795945653,815,0.8132,1184.942587046765,1112,1.1096,14382.637095318549,1226,1.2233,13585.595277584425,1714,1.7102,560.1248028253179,1769,1.7651,502.88484714052174,6
69a033f76ec7b67d7d8753a5,cmj,ok,True,,1622,1.6181,5873.935170585905,1780,1.7757,1926.9902455326062,2107,2.102,12845.180974636585,2278,2.2725,13652.450266373466,2820,2.8132,619.9908080409966,2875,2.8681,572.5661769496412,6
69a03b316ec7b67d7d8753aa,cmj,ok,True,,1612,1.6139,9975.504222501142,1816,1.8182,5550.891816288932,2099,2.1015,22329.344579770095,,,,2386,2.3889,1060.1660554081848,2764,2.7673,1040.0422789647146,5
69a03b676ec7b67d7d8753ab,cmj,ok,True,,1864,1.8603,10151.743885516516,1965,1.9611,3175.3544483466794,2209,2.2046,27732.141048914564,,,,2393,2.3882,414.78446582586076,2443,2.4381,426.9738560250714,5
69a03bb56ec7b67d7d8753ac,cmj,ok,True,,1880,1.8762,10093.883130165406,2103,2.0988,5094.266209016174,2373,2.3683,22461.574308322237,,,,2669,2.6637,1004.9480788791107,3055,3.0489,1023.8386470296291,5
69a03bc46ec7b67d7d8753ad,cmj,ok,True,,2079,2.0773,10053.657859945895,2264,2.2622,4472.894831307256,2528,2.526,23022.42481130274,,,,2815,2.8127,1018.2898162886981,3202,3.1994,1040.9450854342883,5
69a03bf96ec7b67d7d8753ae,cmj,ok,True,,1703,1.6959,9898.030185130297,1859,1.8512,7519.895513115536,2291,2.2814,20273.20071223032,2503,2.4925,21514.986891781544,2618,2.607,973.1056199872166,3056,3.0432,1013.0305857245369,6
69a03c0f6ec7b67d7d8753af,cmj,ok,True,,1075,1.0694,9775.11641868384,1172,1.1659,8287.592364470484,1871,1.8613,21593.425571634485,2576,2.5626,27347.088123554066,3879,3.8589,1049.1531062965655,4555,4.5313,1049.232927252284,6
699d73678e59d198a5550882,sj,ok,True,,,,,,,,,,,,,,1931,2.3015,429.49656841307547,2228,2.6555,550.8417371746178,8
699d73af8e59d198a5550883,sj,ok,True,,,,,,,,,,,,,,1589,1.8164,420.2988292230108,1902,2.1741,671.2129564668257,5
699d73fd8e59d198a5550884,sj,ok,True,,,,,,,,,,,,,,3105,3.1,412.0649685023301,3216,3.2109,647.9395563793132,5
699d7af78e59d198a5550888,sj,ok,True,,,,,,,,,,,,,,1674,1.9782,372.54467789030184,1897,2.2417,537.3493297290667,5
699d7b128e59d198a5550889,sj,ok,True,,,,,,,,,,,,,,1951,2.1216,381.01568426704017,2169,2.3587,569.03578331424,5
699d89f18e59d198a555088d,sj,ok,True,,,,,,,,,,,,,,2524,2.5058,297.95519184463006,3012,2.9903,460.3069149105205,8
699d89fe8e59d198a555088f,sj,ok,True,,,,,,,,,,,,,,2411,2.4012,323.14418392130614,2851,2.8394,483.37892438789083,5
699d8bb48e59d198a555089e,sj,ok,True,,,,,,,,,,,,,,,,,,,,2
699d8bcb8e59d198a555089f,sj,ok,True,,,,,,,,,,,,,,2700,2.6984,293.902434404577,3116,3.1141,445.96554347922796,8
699d8bd88e59d198a55508a0,sj,ok,True,,,,,,,,,,,,,,2135,2.113,293.8935280374228,2166,2.1437,452.9156635922577,5
699d8e9c8e59d198a55508a1,sj,ok,True,,,,,,,,,,,,,,1657,1.6587,381.2285672390337,2032,2.034,615.7280223035884,5
699d91bf8e59d198a55508a5,sj,ok,True,,,,,,,,,,,,,,2554,2.5591,316.5803833849338,3075,3.0812,514.2607855417489,8
699d921e8e59d198a55508a6,sj,ok,True,,,,,,,,,,,,,,2636,2.6381,348.7245359353745,3164,3.1665,519.8382576583883,5
699d923b8e59d198a55508a7,sj,ok,True,,,,,,,,,,,,,,3056,3.056,276.6553547215384,3534,3.534,469.671868393135,5
699d93708e59d198a55508ac,sj,ok,True,,,,,,,,,,,,,,2034,2.0299,266.9862961359637,2479,2.474,408.8698220079025,8
699d93bb8e59d198a55508ad,sj,ok,True,,,,,,,,,,,,,,2357,2.3537,279.6756688979794,2781,2.7771,434.7508517146288,5
699ead5431a30c1a20992f76,sj,ok,True,,,,,,,,,,,,,,,,,,,,2
699ead6731a30c1a20992f77,sj,ok,True,,,,,,,,,,,,,,,,,,,,2
699eae2431a30c1a20992f7c,sj,ok,True,,,,,,,,,,,,,,2349,2.3699,295.0343274730911,2387,2.4082,472.5963756907204,5
699eae4931a30c1a20992f7d,sj,ok,True,,,,,,,,,,,,,,2754,2.7381,316.4491660088132,3110,3.0921,455.6198988130952,5
699eaef331a30c1a20992f81,sj,ok,True,,,,,,,,,,,,,,1835,1.839,329.6872494671725,2265,2.27,471.193203565275,5
699eaf0331a30c1a20992f82,sj,ok,True,,,,,,,,,,,,,,1658,1.6563,374.39944031812905,2124,2.1219,581.8401241980647,5
699eb57b31a30c1a20992f89,sj,ok,True,,,,,,,,,,,,,,2703,2.6789,325.0750787338913,3091,3.0634,482.4221506887741,5
699eb58b31a30c1a20992f8a,sj,ok,True,,,,,,,,,,,,,,2292,2.2897,326.44297858590727,2648,2.6453,507.2818988123661,5
699eb59a31a30c1a20992f8b,sj,ok,True,,,,,,,,,,,,,,,,,,,,2
699eb5cb31a30c1a20992f8c,sj,ok,True,,,,,,,,,,,,,,,,,,,,2
699eb5f231a30c1a20992f8d,sj,ok,True,,,,,,,,,,,,,,2193,2.2165,326.7459579496239,2548,2.5753,496.8826616613814,5
699eb60331a30c1a20992f8e,sj,ok,True,,,,,,,,,,,,,,,,,,,,2
699ebff631a30c1a20992f95,sj,ok,True,,,,,,,,,,,,,,2554,2.5453,351.4292725495996,3112,3.1014,492.2927560675756,5
699ec00231a30c1a20992f96,sj,ok,True,,,,,,,,,,,,,,2432,2.4379,356.98741118761717,2920,2.927,470.1475752435309,5
699ec0c231a30c1a20992f9a,sj,ok,True,,,,,,,,,,,,,,,,,,,,2
699ec0e631a30c1a20992f9b,sj,ok,True,,,,,,,,,,,,,,,,,,,,2
699ec15131a30c1a20992f9c,sj,ok,True,,,,,,,,,,,,,,,,,,,,2
699ec3c231a30c1a20992fa1,sj,ok,True,,,,,,,,,,,,,,1598,1.5996,445.2385736937353,2029,2.031,715.8408182613351,5
699ec3cd31a30c1a20992fa2,sj,ok,True,,,,,,,,,,,,,,,,,,,,2
699ec3f531a30c1a20992fa3,sj,ok,True,,,,,,,,,,,,,,,,,,,,2
699ec40e31a30c1a20992fa4,sj,ok,True,,,,,,,,,,,,,,1745,1.7496,425.3372487419698,2152,2.1577,658.9898583413847,5
699ec42b31a30c1a20992fa5,sj,ok,True,,,,,,,,,,,,,,1938,1.933,395.415721863673,2329,2.323,618.1797326292357,5
699ec4b831a30c1a20992faa,sj,ok,True,,,,,,,,,,,,,,2775,2.7639,276.46909295082287,3292,3.2788,406.2849991682982,5
699ec4da31a30c1a20992fab,sj,ok,True,,,,,,,,,,,,,,2276,2.276,276.5679423842248,2760,2.76,427.1526600130716,5
699ec53e31a30c1a20992fac,sj,ok,True,,,,,,,,,,,,,,2160,2.1531,278.48188882712236,2604,2.5957,423.27089462447515,5
699ec55231a30c1a20992fad,sj,ok,True,,,,,,,,,,,,,,1964,1.9648,279.17404905507954,2447,2.448,442.59272720769826,5
699ec56b31a30c1a20992fae,sj,ok,True,,,,,,,,,,,,,,2057,2.0504,291.25473996905845,2540,2.5319,439.9246811125953,5
699ec57531a30c1a20992faf,sj,ok,True,,,,,,,,,,,,,,2057,2.0484,277.5683267975872,2541,2.5304,399.847112677657,5
699ec81c31a30c1a20992fb3,sj,ok,True,,,,,,,,,,,,,,2685,2.6812,322.52809508008687,2710,2.7062,483.5576721977631,5
699ec85d31a30c1a20992fb4,sj,ok,True,,,,,,,,,,,,,,2024,2.0163,317.95716261073613,2375,2.366,475.70029383415795,5
699ec88131a30c1a20992fb5,sj,ok,True,,,,,,,,,,,,,,1656,1.6557,327.6418780032757,1998,1.9976,529.4546866565668,5
699eda0a7d1bd36d2670863c,sj,ok,True,,,,,,,,,,,,,,,,,,,,2
699eda177d1bd36d2670863d,sj,ok,True,,,,,,,,,,,,,,,,,,,,0
699edae57d1bd36d26708642,sj,ok,True,,,,,,,,,,,,,,,,,,,,2
699edaf27d1bd36d26708643,sj,ok,True,,,,,,,,,,,,,,,,,,,,2
699ff66e7d1bd36d26708646,sj,ok,True,,,,,,,,,,,,,,,,,,,,2
